Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,variant,arm,phase
BASE_T10,456,266,190,0,58.33,0.0038176199665188315,9.668371651882699e-05,2.1202569412023463e-07,0.00021653088994924086,1.435195476134899e-05,-1.9583875000000026e-05,1.0259837067939088,-0.059607705923068896,0.007930233716518827,1.2342260727106646,2.4036172027290448,0.8216666666666667,90.375,266,190,0,58.33,41.67,,0,0,10.887067209318278,1.088706720931828,BASE,T10,full
BASE_T10,186,105,81,0,56.45,0.0015051041185111748,-8.118975648882748e-05,-4.365040671442338e-07,-0.0004457790576627291,1.4334324938201665e-05,-1.958387500000003e-05,0.9488179600461311,-0.05826835005188614,0.007752360243511173,-1.0364363090658357,2.809551971326165,1.097638888888889,21.828333333333333,105,81,0,56.45,43.55,,0,0,-4.429765364032881,-0.4429765364032881,BASE,T10,select
BASE_T10,270,161,109,0,59.63,0.002312515848007657,0.00017787347300765447,6.587906407690906e-07,0.0006727888538597092,1.4363452472097248e-05,-1.9583875000000026e-05,1.0833270598817069,-0.022591053868220825,0.008011423473007654,2.2706623817765115,2.1239732510288065,0.6847222222222222,90.375,161,109,0,59.63,40.37,,0,0,15.316832573351153,1.5316832573351153,BASE,T10,holdout
E1_T1,757,356,401,0,47.03,0.002566012145026109,-0.0003789130580988744,-5.005456513855672e-07,-0.0005111814198013081,7.207899283781205e-06,-7.343953124999959e-06,0.8713335545171762,-0.059136222206264306,0.007454636941901125,-4.837054184869882,0.4116776750330251,0.17083333333333334,11.508055555555556,356,401,0,47.03,52.97,,0,0,-25.66555243592417,-2.566555243592417,E1,T1,full
E1_T1,379,180,199,0,47.49,0.0012957504249071874,-0.0001656962469678043,-4.3719326376729363e-07,-0.0004464828985757858,7.198613471706597e-06,-7.343953124999959e-06,0.8866217631087276,-0.043849843032658174,0.007667853753032195,-2.1152127320027914,0.4874391673995896,0.20777777777777778,11.508055555555556,180,199,0,47.49,52.51,,0,0,-9.901794058210035,-0.9901794058210035,E1,T1,select
E1_T1,378,176,202,0,46.56,0.0012702617201189217,-0.0002132168111310701,-5.640656379128838e-07,-0.0005760511011358924,7.217396137039328e-06,-7.34395312499996e-06,0.8562723985284696,-0.026305576006176595,0.00762033318886893,-2.721841452867091,0.3357157554379776,0.14194444444444443,6.289166666666667,176,202,0,46.56,53.44,,0,0,-15.763758377714131,-1.5763758377714132,E1,T1,holdout
E1_T2,757,347,410,0,45.84,0.0033395001710171657,-0.000675194203982842,-8.91934219263992e-07,-0.0009108863483493352,9.623919801202207e-06,-9.791937500000018e-06,0.8318192766584279,-0.09536678217394574,0.007158355796017158,-8.619262071255584,0.9187160575370615,0.3416666666666667,30.126944444444444,347,410,0,45.84,54.16,,0,0,-44.62606737919171,-4.462606737919171,E1,T2,full
E1_T2,379,169,210,0,44.59,0.0016586764624549233,-0.00039763041254508083,-1.0491567613326671e-06,-0.0010714496097760705,9.814653623993628e-06,-9.791937500000018e-06,0.8066288561404145,-0.06472614526320439,0.007435919587454919,-5.075992526314133,1.2368425681618294,0.41833333333333333,30.126944444444444,169,210,0,44.59,55.41,,0,0,-24.389933846788402,-2.4389933846788403,E1,T2,select
E1_T2,378,178,200,0,47.09,0.0016808237085622424,-0.0002775637914377611,-7.342957445443416e-07,-0.0007498983163897253,9.442829823383384e-06,-9.791937500000016e-06,0.8582692182023423,-0.03518399423295005,0.0075559862085622384,-3.543269544941452,0.5997479423868314,0.28208333333333335,11.925555555555556,178,200,0,47.09,52.91,,0,0,-20.236133532403308,-2.023613353240331,E1,T2,holdout
E1_T3,757,356,401,0,47.03,0.0025308109984092724,-0.0004141142047157108,-5.470465055689706e-07,-0.0005586703403376202,7.109019658453013e-06,-7.343953124999959e-06,0.8593803997886679,-0.06412914255813405,0.007419435795284289,-5.286418095444734,0.438612211947747,0.19833333333333333,11.525,356,401,0,47.03,52.97,,0,0,-28.953484707368084,-2.8953484707368085,E1,T3,full
