arm,fraction,max_open,trades_signal,trades_executed,skipped_max_open,exposure_limited,fully_available,final_equity_usd,net_pnl_usd,return_pct,max_dd,max_dd_pct,max_simultaneous,max_exposure,win_rate_pct,profit_factor,avg_pnl_usd,sum_win_usd,sum_loss_usd,phase,sweep,candidate
A7.5_M6,0.075,6,202,199,3,0,199,1037.693476299508,37.69347629950789,3.769347629950781,-0.01532049707849681,-1.532049707849681,6,0.44575316740846105,54.77386934673367,1.2792109355519155,0.18941445376637436,172.69347629950818,-134.9999999999997,holdout,grid,E2+T7
A7.5_M6,0.075,6,330,327,3,0,327,1047.9336729391227,47.933672939122744,4.793367293912265,-0.018760345676617926,-1.8760345676617927,6,0.4412770490606156,54.12844036697248,1.2130385463961042,0.14658615577713563,272.93367293912286,-224.99999999999952,full,grid,E2+T7
A7.5_M8,0.075,8,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,grid,E2+T7
A7.5_M8,0.075,8,202,202,0,0,202,1038.937514182611,38.93751418261104,3.8937514182610933,-0.016752419746447828,-1.6752419746447829,8,0.5924722380568996,54.95049504950495,1.2852565141583265,0.19275997120104693,175.43751418261118,-136.4999999999997,holdout,grid,E2+T7
A7.5_M8,0.075,8,330,330,0,0,330,1049.177710822226,49.17771082222589,4.9177710822225995,-0.018760345676617926,-1.8760345676617927,8,0.5865412964821817,54.24242424242424,1.2171201360804698,0.14902336612795863,275.6777108222258,-226.4999999999995,full,grid,E2+T7
A7.5_M10,0.075,10,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,grid,E2+T7
A7.5_M10,0.075,10,202,202,0,0,202,1038.937514182611,38.93751418261104,3.8937514182610933,-0.016752419746447828,-1.6752419746447829,8,0.5924722380568996,54.95049504950495,1.2852565141583265,0.19275997120104693,175.43751418261118,-136.4999999999997,holdout,grid,E2+T7
A7.5_M10,0.075,10,330,330,0,0,330,1049.177710822226,49.17771082222589,4.9177710822225995,-0.018760345676617926,-1.8760345676617927,8,0.5865412964821817,54.24242424242424,1.2171201360804698,0.14902336612795863,275.6777108222258,-226.4999999999995,full,grid,E2+T7
A7.5_M12,0.075,12,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,grid,E2+T7
A7.5_M12,0.075,12,202,202,0,0,202,1038.937514182611,38.93751418261104,3.8937514182610933,-0.016752419746447828,-1.6752419746447829,8,0.5924722380568996,54.95049504950495,1.2852565141583265,0.19275997120104693,175.43751418261118,-136.4999999999997,holdout,grid,E2+T7
